id	name	approach	level	conf	url	title	license	reach	flags	reason
500	Doodh Pak		REVIEW							no curated/recovery/candidate source
810	Doodh Soda	curated	REVIEW	1	https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Gulab_Jamun_Doodh.jpg/640px-Gulab_Jamun_Doodh.jpg	Gulab Jamun Doodh	cc0	400	ur-broken	curated-mappings.json (human verified); url definitively broken (400)
995	Dosti Roti		REVIEW							no curated/recovery/candidate source
964	Dry Fruit Naan		REVIEW							no curated/recovery/candidate source
129	Eggplant	candidate	HIGH	0.85	https://upload.wikimedia.org/wikipedia/commons/a/aa/Eggplant.jpg	Eggplant	by	200	reachable	Openverse best (single-token exact)
774	Elaichi Chai		REVIEW							recovery URL available but title/name confidence below HIGH
1447	Falsa		REVIEW							recovery URL available but title/name confidence below HIGH
157	Fish Chawal		REVIEW							no curated/recovery/candidate source
642	Fresh Lime Soda		REVIEW							recovery URL available but title/name confidence below HIGH
643	Fresh Lime Water		REVIEW							recovery URL available but title/name confidence below HIGH
124	Ginger		REVIEW							recovery URL available but title/name confidence below HIGH
834	Gobi Mooli Paratha		REVIEW							no curated/recovery/candidate source
413	Gola Kebab		REVIEW							no curated/recovery/candidate source
204	Gosht Chawal	recovery	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/c/c3/Saloonay_Chawal_With_Aloo_Gosht.JPG	Saloonay Chawal With Aloo Gosht	cc0	429	probe-ratelimited	restore same food's Pass-1 URL; reachability unverified (429)
343	Gosht Karahi		REVIEW							no curated/recovery/candidate source
232	Gosht Pulao		REVIEW							no curated/recovery/candidate source
1492	Grilled Chicken Breast		REVIEW							no curated/recovery/candidate source
390	Gulnar Kebab		REVIEW							no curated/recovery/candidate source
600	Gur Halwa		REVIEW							no curated/recovery/candidate source
794	Gur Sharbat		REVIEW							no curated/recovery/candidate source
467	Gur Wale Chawal		REVIEW							no curated/recovery/candidate source
809	Haldi Doodh		REVIEW							recovery URL available but title/name confidence below HIGH
170	Haleem Chawal		REVIEW							no curated/recovery/candidate source
1269	Honeydew		REVIEW							no curated/recovery/candidate source
608	Imarti	candidate	HIGH	0.85	https://upload.wikimedia.org/wikipedia/commons/a/a3/Imarti.jpg	Imarti	by-sa	429	probe-ratelimited	Openverse best (single-token exact); reachability unverified (429)
466	Imli Halwa		REVIEW							no curated/recovery/candidate source
781	Jam-E-Shirin		REVIEW							no curated/recovery/candidate source
795	Jamun Sharbat		REVIEW							no curated/recovery/candidate source
309	Kachchi Biryani (Chicken)		REVIEW							no curated/recovery/candidate source
1033	Kachori Puri		REVIEW							recovery URL available but title/name confidence below HIGH
1019	Kadhi Pakora		REVIEW							recovery URL available but title/name confidence below HIGH
798	Kala Khatta		REVIEW							recovery URL available but title/name confidence below HIGH
407	Kaleji Masala		REVIEW							no curated/recovery/candidate source
797	Kanji		REVIEW							recovery URL available but title/name confidence below HIGH
484	Karadaiyan		REVIEW							no curated/recovery/candidate source
143	Karahi Chawal		REVIEW							no curated/recovery/candidate source
899	Karel		REVIEW							no curated/recovery/candidate source
180	Karela Chawal		REVIEW							recovery URL available but title/name confidence below HIGH
457	Kasata		REVIEW							no curated/recovery/candidate source
187	Keema Chawal		REVIEW							no curated/recovery/candidate source
807	Kesar Doodh		REVIEW							recovery URL available but title/name confidence below HIGH
454	Kesar Kulfi	candidate	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/0/00/Mahaveer_matka_kulfi_vaishal_kesar_pista_kulfi.JPG	Mahaveer matka kulfi vaishal kesar pista kulfi	by-sa	429	probe-ratelimited	Openverse best (2/2 token(s)); reachability unverified (429)
621	Kesar Lassi		REVIEW							no curated/recovery/candidate source
477	Khoa		REVIEW							recovery URL available but title/name confidence below HIGH
1008	Koki		REVIEW							recovery URL available but title/name confidence below HIGH
408	Korma		REVIEW							recovery URL available but title/name confidence below HIGH
591	Kulfi		REVIEW							recovery URL available but title/name confidence below HIGH
202	Lamb Pulao		REVIEW							recovery URL available but title/name confidence below HIGH
356	Lamb Sajji		REVIEW							no curated/recovery/candidate source
348	Lamb Seekh		REVIEW							recovery URL available but title/name confidence below HIGH
363	Landhi Rosh		REVIEW							no curated/recovery/candidate source
632	Lassi Milkshake		REVIEW							recovery URL available but title/name confidence below HIGH
771	Lemon Tea	candidate	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/8/89/Lemon_tea-04.jpg	Lemon tea-04	by	429	probe-ratelimited	Openverse best (2/2 token(s)); reachability unverified (429)
159	Machli Pulao		REVIEW							no curated/recovery/candidate source
538	Makhadi		REVIEW							recovery URL available but title/name confidence below HIGH
841	Malabar Paratha		REVIEW							recovery URL available but title/name confidence below HIGH
1254	Malai Boti		REVIEW							no curated/recovery/candidate source
1260	Malai Boti Roll		REVIEW							no curated/recovery/candidate source
14	Mango		REVIEW							recovery URL available but title/name confidence below HIGH
447	Mathura Peda		REVIEW							recovery URL available but title/name confidence below HIGH
153	Mattar Chawal		REVIEW							no curated/recovery/candidate source
478	Mawa		REVIEW							recovery URL available but title/name confidence below HIGH
517	Mawa Kachori		REVIEW							no curated/recovery/candidate source
70	Mint		REVIEW							recovery URL available but title/name confidence below HIGH
549	Mithai		REVIEW							no curated/recovery/candidate source
637	Mixed Fruit Shake		REVIEW							recovery URL available but title/name confidence below HIGH
844	Mixed Veg Paratha		REVIEW							recovery URL available but title/name confidence below HIGH
168	Moti Biryani		REVIEW							no curated/recovery/candidate source
762	Mountain Tea		REVIEW							no curated/recovery/candidate source
1448	Mulberry		REVIEW							recovery URL available but title/name confidence below HIGH
253	Murgh Chawal		REVIEW							no curated/recovery/candidate source
1442	Muskmelon		REVIEW							recovery URL available but title/name confidence below HIGH
279	Mutton Chapli		REVIEW							no curated/recovery/candidate source
382	Mutton Gushtaba		REVIEW							no curated/recovery/candidate source
281	Mutton Kadhai		REVIEW							recovery URL available but title/name confidence below HIGH
380	Mutton Kofta		REVIEW							recovery URL available but title/name confidence below HIGH
311	Mutton Kunna		REVIEW							no curated/recovery/candidate source
404	Mutton Paye		REVIEW							no curated/recovery/candidate source
381	Mutton Rista		REVIEW							no curated/recovery/candidate source
312	Mutton Sajji		REVIEW							recovery URL available but title/name confidence below HIGH
335	Mutton Shinwari		REVIEW							no curated/recovery/candidate source
376	Mutton Yakhni		REVIEW							no curated/recovery/candidate source
814	Naan Khush		REVIEW							no curated/recovery/candidate source
815	Naan Roz		REVIEW							no curated/recovery/candidate source
364	Namkeen Gosht		REVIEW							no curated/recovery/candidate source
1450	Orange		REVIEW							recovery URL available but title/name confidence below HIGH
155	Palak Chawal		REVIEW							no curated/recovery/candidate source
972	Paneer Naan	recovery	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/c/c6/Butter_Naan_With_Paneer_Butter_Masala.jpg	Butter Naan With Paneer Butter Masala	cc0	429	probe-ratelimited	restore same food's Pass-1 URL; reachability unverified (429)
1222	Paneer Samosa		REVIEW							recovery URL available but title/name confidence below HIGH
802	Papaya Shake		REVIEW							recovery URL available but title/name confidence below HIGH
1239	Papri Chaat	recovery	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/1/1b/Bhalla_Papri_Chaat_with_saunth_chutney.jpg	Bhalla Papri Chaat with saunth chutney	by-sa	200	reachable	restore same food's Pass-1 URL
126	Peas		REVIEW							recovery URL available but title/name confidence below HIGH
1473	Pistachio	candidate	HIGH	0.85	https://upload.wikimedia.org/wikipedia/commons/0/04/Pistachio.jpg	Pistachio	by-sa	429	probe-ratelimited	Openverse best (single-token exact); reachability unverified (429)
12	Plain Paratha		REVIEW							recovery URL available but title/name confidence below HIGH
119	Potato		REVIEW							recovery URL available but title/name confidence below HIGH
176	Pulao		REVIEW							no curated/recovery/candidate source
997	Puri	candidate	HIGH	0.85	https://upload.wikimedia.org/wikipedia/commons/3/39/Puri.jpg	Puri	by-sa	429	probe-ratelimited	Openverse best (single-token exact); reachability unverified (429)
1229	Pyaz Pakora		REVIEW							no curated/recovery/candidate source
839	Pyaz Paratha		REVIEW							no curated/recovery/candidate source
806	Rabri Doodh		REVIEW							no curated/recovery/candidate source
853	Ragi Roti		REVIEW							no curated/recovery/candidate source
269	Reshmi Karahi		REVIEW							no curated/recovery/candidate source
425	Reshmi Roll		REVIEW							no curated/recovery/candidate source
783	Rooh Afza Lassi		REVIEW							recovery URL available but title/name confidence below HIGH
782	Rooh Afza Milk		REVIEW							recovery URL available but title/name confidence below HIGH
362	Rosh		REVIEW							recovery URL available but title/name confidence below HIGH
941	Rosh Naan		REVIEW							no curated/recovery/candidate source
11	Roti		REVIEW							recovery URL available but title/name confidence below HIGH
255	Saag Chawal		REVIEW							no curated/recovery/candidate source
1170	Sajji	recovery	HIGH	0.9	https://upload.wikimedia.org/wikipedia/commons/0/08/Sajji.JPG	Sajji	cc0	429	probe-ratelimited	restore same food's Pass-1 URL; reachability unverified (429)
355	Sajji (Mutton)	candidate	REVIEW	0.9	https://upload.wikimedia.org/wikipedia/commons/0/08/Sajji.JPG	Sajji	cc0	429	dup-url;probe-ratelimited	Openverse best (single-token exact); duplicate image_url shared with "Sajji" — kept for that food instead; reachability unverified (429)
940	Sajji Naan		REVIEW							no curated/recovery/candidate source
777	Salted Lassi		REVIEW							recovery URL available but title/name confidence below HIGH
1006	Sattu Roti		REVIEW							no curated/recovery/candidate source
1256	Seekh Paratha Roll		REVIEW							no curated/recovery/candidate source
1259	Seekh Roll		REVIEW							recovery URL available but title/name confidence below HIGH
167	Sela Rice		REVIEW							no curated/recovery/candidate source
214	Shahi Zarda		REVIEW							no curated/recovery/candidate source
301	Shami Boti		REVIEW							no curated/recovery/candidate source
171	Shami Kabab Chawal		REVIEW							no curated/recovery/candidate source
1262	Shami Roll		REVIEW							no curated/recovery/candidate source
767	Sheer Chai		REVIEW							no curated/recovery/candidate source
604	Sheer Khurma	recovery	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/e/ed/Sheer_Khurma.jpg	Sheer Khurma	by	429	probe-ratelimited	restore same food's Pass-1 URL; reachability unverified (429)
331	Shinwari Chicken		REVIEW							no curated/recovery/candidate source
195	Shir Khurma Chawal		REVIEW							no curated/recovery/candidate source
1217	Snack		REVIEW							recovery URL available but title/name confidence below HIGH
1265	Sweet Corn	candidate	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/f/f7/A_shot_of_Sweet_corn.jpg	A shot of Sweet corn	by-sa	429	probe-ratelimited	Openverse best (2/2 token(s)); reachability unverified (429)
258	Sweet Rice	candidate	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/7/7c/Sweet_rice_with_lotus_seed.jpg	Sweet rice with lotus seed	by-sa	429	probe-ratelimited	Openverse best (2/2 token(s)); reachability unverified (429)
1249	Tikka Boti		REVIEW							no curated/recovery/candidate source
921	Tikka Naan		REVIEW							recovery URL available but title/name confidence below HIGH
1261	Tikka Roll		REVIEW							recovery URL available but title/name confidence below HIGH
177	Tinday Chawal		REVIEW							no curated/recovery/candidate source
1486	Vanilla Custard	candidate	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/1/1c/Vanilla_Custard.jpg	Vanilla Custard	by-sa	429	probe-ratelimited	Openverse best (2/2 token(s)); reachability unverified (429)
383	Wazwan Meat Dishes		REVIEW							recovery URL available but title/name confidence below HIGH
99	Wild Garlic	candidate	HIGH	1	https://upload.wikimedia.org/wikipedia/commons/4/45/Photo_of_Allium_Ursinum%2C_wild_garlic%2C_north-west_Hampshire%2C_UK%2C_May_2014.jpg	Photo of Allium Ursinum, wild garlic, north-west Hampshire, UK, May 2014	by-sa	429	probe-ratelimited	Openverse best (2/2 token(s)); reachability unverified (429)
65	Yam		REVIEW							recovery URL available but title/name confidence below HIGH
79	Yardlong Beans		REVIEW							recovery URL available but title/name confidence below HIGH
