id,name,kind,old,new,reason
899,Karel,image_clear,https://upload.wikimedia.org/wikipedia/commons/6/65/Haagalakaayi_%28Kannada-_%E0%B2%B9%E0%B2%BE%E0%B2%97%E0%B2%B2%E0%B2%95%E0%B2%BE%E0%B2%AF%E0%B2%BF%29_%286781775067%29.jpg,NULL,"haagalakaayi (Kannada), not the stuffed flatbread (reviewer)"
921,Tikka Naan,image_clear,https://upload.wikimedia.org/wikipedia/commons/9/91/Vegetable_tikka_masala_and_mixed_pickles%2C_with_black_pepper%2C_on_naan_fried_in_oil_-_Massachusetts.jpg,NULL,"veg tikka & pickle, no naan visible (reviewer)"
1050,Chana Tikki,image_clear,https://upload.wikimedia.org/wikipedia/commons/c/ce/Tikki-with-Chana_masala.JPG,NULL,"punjabi chana chaat, not patties"
1217,Snack,image_clear,https://upload.wikimedia.org/wikipedia/commons/5/5f/Azerbaijan_Light_snack.jpg,NULL,"Azerbaijani light snack, wrong cuisine"
1233,Chicken Pakora,image_clear,https://upload.wikimedia.org/wikipedia/commons/8/83/Chicken_Pakora_Mitra_Cafe.jpg,NULL,restaurant-branded photo (Mitra Cafe) (reviewer)
1447,Falsa,image_clear,https://upload.wikimedia.org/wikipedia/commons/2/2c/Falsa-coral_-_Oxyrhopus_guibei_abrindo_a_boca.jpg,NULL,"coral snake (Oxyrhopus), not falsa fruit"
1448,Mulberry,image_clear,https://upload.wikimedia.org/wikipedia/commons/e/ed/Arromanches-les-Bains_port_artificiel_Mulberry.jpg,NULL,"artificial harbour (Mulberry), not fruit (reviewer)"
1473,Pistachio,image_clear,https://upload.wikimedia.org/wikipedia/commons/b/bb/Tulumba_with_kaymak_and_pistachio.jpg,NULL,"tulumba with pistachio, not the nut (reviewer)"
1481,Chicken Kofta,image_clear,https://upload.wikimedia.org/wikipedia/commons/f/f5/Arabic_Chicken_Kofta_Rice_with_Grilled_Chicken.jpg,NULL,"Arabic kofta rice, not Pakistani kofta curry (reviewer)"
1486,Vanilla Custard,image_clear,https://upload.wikimedia.org/wikipedia/commons/f/fe/CHOUX_Bakery_Vanilla_Custard_Cream_Puff_inside_%2828436879663%29.jpg,NULL,"cream puffs at bakery, not custard"
180,Karela Chawal,image_clear,https://upload.wikimedia.org/wikipedia/commons/7/73/Karela_Stu_with_Masha_Daal.jpg,NULL,"karela stew with mash daal, not karela + rice (reviewer)"
208,Bread Chawal,image_clear,https://upload.wikimedia.org/wikipedia/commons/2/28/Bread_and_wine.svg,NULL,"bread and wine, wrong content"
472,Papri,description,Sweet crispy discs,"Crunchy fried dough discs topped with spiced yogurt, chickpeas and tangy tamarind chutney",reviewer description fix
